title,filename,driveFileId,driveUrl,width,height,megapixels,bytes,embeddedColorSpace,sha256,verification
Mountain Basin City,20260903-enhanced_1000077306.jpg,1CZ1Ogl6QI4UtakHy2d1RGbTPA0SwuTN0,https://drive.google.com/file/d/1CZ1Ogl6QI4UtakHy2d1RGbTPA0SwuTN0/view?usp=drivesdk,15000,10056,150.84,57848672,sRGB,f066fa0aa918809ad6117d2602c5f2ba46bab5c3fa394fe8d9f72863687b197b,Exact visual match to V31 selected-master page 3
The Veiled Valley,movie still3 (32).jpg,1z2IvpfRoKmQ4dhVctW10UUSC_ZjeCSwM,https://drive.google.com/file/d/1z2IvpfRoKmQ4dhVctW10UUSC_ZjeCSwM/view?usp=drivesdk,15000,8438,126.57,46784692,sRGB,3cda425e9a375c4dcfe96ab932ccbc558a85e7906c5513fcb4f5e8017660c974,Exact visual match to V31 selected-master page 4; later master replacing the older Veiled Valley source
Autumn Canal-City,20260903-enhanced_1000077305.jpg,1jmep0uBrNUJfR0bWze0sfkrO5pNmcg0W,https://drive.google.com/file/d/1jmep0uBrNUJfR0bWze0sfkrO5pNmcg0W/view?usp=drivesdk,15000,8472,127.08,65875248,sRGB,46d74a6e69c37072a7240839fcf95d9161e8247e8e041dfd1f3f7087261b3a85,Exact visual match to V31 selected-master page 5
Alpine Sanctuary,movie still3 (3).jpg,1hJ5S_eWMXWSjdpLQBsA0adW7GYTbCHkM,https://drive.google.com/file/d/1hJ5S_eWMXWSjdpLQBsA0adW7GYTbCHkM/view?usp=drivesdk,15000,9360,140.4,86198370,sRGB,168f4ca6e51343ae0120006142a4785978d514df53d9d26abfb72d29161d3cd3,Best/current V31 visual match; later near-duplicate of movie still3 (2).jpg
Forest Ravine,20260903-enhanced_1000077304.jpg,1TJknIYUkKBKxDe2z9mmxgkdG7cKqjBrh,https://drive.google.com/file/d/1TJknIYUkKBKxDe2z9mmxgkdG7cKqjBrh/view?usp=drivesdk,15000,8424,126.36,81258270,sRGB,0359cd6ba626f240863a1f63c1aeb19f812c1f93e408df4277026b0a314ca99c,Exact visual match to V31 selected-master page 7
Urban Megastructure,movie still3 (49).jpg,1NP3XMmjixu1O3ZvIoHqsb8c2Eg9hAqCq,https://drive.google.com/file/d/1NP3XMmjixu1O3ZvIoHqsb8c2Eg9hAqCq/view?usp=drivesdk,4092,6144,25.14,8722088,sRGB,eebb379793ceb45e3661412deb6ffea6ab0689d54403e59549a723ac7cfc8cc7,Exact visual match to the finished-VFX image on V31 page 8
Sea-Cliff,movie still2.jpg,19ogVyi8NDg9serubTrDYLapHJ3HSQwUd,https://drive.google.com/file/d/19ogVyi8NDg9serubTrDYLapHJ3HSQwUd/view?usp=drivesdk,15000,8433,126.5,95706026,sRGB,83b5a10dc3412999cdee62e3d132f2d404f5630a8457811dc07bcd78ef6d8df8,Explicitly identified by the proven Sea-Cliff workflow and visually matched to V31 page 9
Highland Citadel,enhanced_1000074315 (1).jpg,1xjfFVazehxre6bL4upss5NRf2PSIHorZ,https://drive.google.com/file/d/1xjfFVazehxre6bL4upss5NRf2PSIHorZ/view?usp=drivesdk,15000,9984,149.76,49634807,Display P3,9a42035d4b1f86b4ca32f5b28557b66f27be48dca53a2ba33fa583d4b8bfd9ae,Exact visual match to V31 selected-master page 10 and identified in the original workflow chat
The Last Terrace,movie still (10).jpg,1rDjmBajIeSBiqKnLHcnxMNEA2AWiaGT9,https://drive.google.com/file/d/1rDjmBajIeSBiqKnLHcnxMNEA2AWiaGT9/view?usp=drivesdk,15000,9984,149.76,53777246,sRGB,7beb48cbab53b9a8ec61bd5a0f52c99ef1890f4d6e9c9f9082ca1253ae3fb73f,Corrected master explicitly promoted in workflow records and visually matched to V31 page 11
Mythic Environment Realism,movie still3 (43).jpg,1Yfctc8AFX5XZvd5SapGL91pTJUDnDBbn,https://drive.google.com/file/d/1Yfctc8AFX5XZvd5SapGL91pTJUDnDBbn/view?usp=drivesdk,15000,15000,225.0,64684606,sRGB,2a413781996bc3314e05db405b1fa9e0139058c197126a4859d825f38287ee30,Pixel/visual match to V31 page 12; supersedes the previous erroneous movie still3 (42).jpg mapping
